suite,run,from_condition,to_condition,n
D03-II,type_ii_D03II_long_long_j50_i8103_a303_g50,TOU,Demand,3
D03-II,type_ii_D03II_long_long_j50_i8104_a101_g50,Region,Region,3858
D03-II,type_ii_D03II_long_long_j50_i8104_a101_g50,TOU,TOU,915
D03-II,type_ii_D03II_long_long_j50_i8104_a101_g50,Region,TOU,10
D03-II,type_ii_D03II_long_long_j50_i8104_a101_g50,Demand,Demand,4
D03-II,type_ii_D03II_long_long_j50_i8104_a101_g50,TOU,Region,3
D03-II,type_ii_D03II_long_long_j50_i8104_a101_g50,Demand,TOU,2
D03-II,type_ii_D03II_long_long_j50_i8104_a202_g50,TOU,TOU,3872
D03-II,type_ii_D03II_long_long_j50_i8104_a202_g50,Region,Region,1027
D03-II,type_ii_D03II_long_long_j50_i8104_a202_g50,Region,TOU,20
D03-II,type_ii_D03II_long_long_j50_i8104_a202_g50,TOU,Region,7
D03-II,type_ii_D03II_long_long_j50_i8104_a202_g50,Demand,Demand,2
D03-II,type_ii_D03II_long_long_j50_i8104_a202_g50,Demand,Region,2
D03-II,type_ii_D03II_long_long_j50_i8104_a202_g50,Demand,TOU,1
D03-II,type_ii_D03II_long_long_j50_i8104_a202_g50,TOU,Demand,1
D03-II,type_ii_D03II_long_long_j50_i8104_a303_g50,TOU,TOU,4016
D03-II,type_ii_D03II_long_long_j50_i8104_a303_g50,Region,Region,998
D03-II,type_ii_D03II_long_long_j50_i8104_a303_g50,Region,TOU,8
D03-II,type_ii_D03II_long_long_j50_i8104_a303_g50,Demand,TOU,1
D03-II,type_ii_D03II_long_long_j50_i8104_a303_g50,TOU,Region,1
D03-II,type_ii_D03II_long_long_j50_i8105_a101_g50,TOU,TOU,4059
D03-II,type_ii_D03II_long_long_j50_i8105_a101_g50,Region,Region,475
D03-II,type_ii_D03II_long_long_j50_i8105_a101_g50,Demand,Demand,80
D03-II,type_ii_D03II_long_long_j50_i8105_a101_g50,Demand,TOU,8
D03-II,type_ii_D03II_long_long_j50_i8105_a101_g50,Region,TOU,5
D03-II,type_ii_D03II_long_long_j50_i8105_a101_g50,TOU,Region,3
D03-II,type_ii_D03II_long_long_j50_i8105_a101_g50,TOU,Demand,2
D03-II,type_ii_D03II_long_long_j50_i8105_a202_g50,TOU,TOU,4186
D03-II,type_ii_D03II_long_long_j50_i8105_a202_g50,Region,Region,103
D03-II,type_ii_D03II_long_long_j50_i8105_a202_g50,Demand,Demand,34
D03-II,type_ii_D03II_long_long_j50_i8105_a202_g50,Demand,TOU,4
D03-II,type_ii_D03II_long_long_j50_i8105_a202_g50,Region,TOU,3
D03-II,type_ii_D03II_long_long_j50_i8105_a202_g50,TOU,Demand,2
D03-II,type_ii_D03II_long_long_j50_i8105_a303_g50,TOU,TOU,5208
D03-II,type_ii_D03II_long_long_j50_i8105_a303_g50,Region,Region,174
D03-II,type_ii_D03II_long_long_j50_i8105_a303_g50,Demand,Demand,122
D03-II,type_ii_D03II_long_long_j50_i8105_a303_g50,Region,TOU,10
D03-II,type_ii_D03II_long_long_j50_i8105_a303_g50,TOU,Demand,9
D03-II,type_ii_D03II_long_long_j50_i8105_a303_g50,Demand,TOU,3
D03-II,type_ii_D03II_long_long_j50_i8105_a303_g50,TOU,Region,2
